n1,n2,n3,n4,n5,l
1.967721283435821533e-01,-1.155719012022018433e-01,-2.270813226699829102e+00,-4.675977528095245361e-01,9.671560525894165039e-01,evening
-4.116485714912414551e-01,-2.113797236233949661e-03,-2.077180624008178711e+00,4.422125518321990967e-01,9.729631543159484863e-01,moments
3.466027379035949707e-01,-5.690978765487670898e-01,-1.738983035087585449e+00,7.725788950920104980e-01,8.105308413505554199e-01,rings
8.166798949241638184e-01,-5.331146717071533203e-01,-1.698400139808654785e+00,2.396319806575775146e-01,7.602438330650329590e-01,lord
6.199812889099121094e-01,2.317412495613098145e-01,-1.261060833930969238e+00,-2.585225403308868408e-01,-4.251240491867065430e-01,dormant
2.841669619083404541e-01,1.301521062850952148e+00,-2.323987722396850586e+00,-2.343905717134475708e-01,4.858406484127044678e-01,submarines
7.742516994476318359e-01,-8.115030527114868164e-01,-1.543344259262084961e+00,2.113672196865081787e-01,-1.765113919973373413e-01,sacked
4.318241775035858154e-01,1.494188547134399414e+00,-2.796856403350830078e+00,-5.572202205657958984e-01,4.164794459939002991e-02,operates
4.122785925865173340e-01,5.579655766487121582e-01,-1.567967295646667480e+00,1.283009052276611328e+00,-2.361734509468078613e-01,plans
-6.163705587387084961e-01,1.022755876183509827e-01,-2.329375743865966797e+00,-1.407301127910614014e-01,8.317772746086120605e-01,peppered
3.730404376983642578e-01,5.504355430603027344e-01,-1.414432764053344727e+00,1.111044645309448242e+00,-3.052305281162261963e-01,arm
2.182713449001312256e-01,1.391363978385925293e+00,-2.138603687286376953e+00,8.389952182769775391e-01,5.012953877449035645e-01,cannon
1.624641269445419312e-01,1.032509207725524902e+00,-1.665640950202941895e+00,7.992770671844482422e-01,-3.612169623374938965e-01,scale
-3.923539519309997559e-01,9.900748133659362793e-01,-2.267564773559570312e+00,1.404208421707153320e+00,1.356529593467712402e-01,monsters
1.942809373140335083e-01,3.148637413978576660e-01,-1.016425967216491699e+00,7.745258808135986328e-01,-3.714828193187713623e-01,seat
5.880757234990596771e-03,5.001229643821716309e-01,-1.345245718955993652e+00,7.428576946258544922e-01,-6.046112775802612305e-01,listener
1.613724231719970703e-01,5.211049318313598633e-01,-2.154247045516967773e+00,-8.084001392126083374e-02,-1.230014085769653320e+00,along
-7.870789617300033569e-03,-1.629577577114105225e-01,-4.861292541027069092e-01,-1.430754270404577255e-02,-2.133128494024276733e-01,advised
4.411388337612152100e-01,1.780076742172241211e+00,-2.402708768844604492e+00,3.191437125205993652e-01,-5.861689569428563118e-04,studios
-3.666531741619110107e-01,-1.997439414262771606e-01,-1.169085502624511719e+00,6.984954327344894409e-02,-3.864971399307250977e-01,prejudiced
4.266512393951416016e-01,-1.078144788742065430e+00,-1.894515633583068848e+00,1.067121505737304688e+00,-2.477525770664215088e-01,took
1.458035875111818314e-02,1.015068739652633667e-01,-1.060858964920043945e+00,-4.271980822086334229e-01,2.387910634279251099e-01,digitally
4.279276430606842041e-01,-2.360767275094985962e-01,-6.190836429595947266e-01,-4.896510764956474304e-02,-7.323086261749267578e-02,six
9.471455812454223633e-01,9.953591227531433105e-02,-1.397192120552062988e+00,1.192660689353942871e+00,2.896635234355926514e-01,films
-9.874776601791381836e-01,4.821734130382537842e-02,-2.402899503707885742e+00,-1.010256111621856689e-01,4.571928083896636963e-01,exhibit
-4.549592435359954834e-01,-3.368264734745025635e-01,-1.654487729072570801e+00,-2.163393050432205200e-01,-4.074590802192687988e-01,megabyte
8.718854188919067383e-01,4.754918217658996582e-01,-1.178744912147521973e+00,-1.291948556900024414e-02,4.132428169250488281e-01,effort
1.039192795753479004e+00,-6.019454002380371094e-01,-1.791236758232116699e+00,1.432435750961303711e+00,3.106245100498199463e-01,harry
4.607469141483306885e-01,-6.240338087081909180e-01,-1.256458640098571777e+00,2.368836477398872375e-02,5.438659191131591797e-01,lots
-2.476805597543716431e-01,-6.141247749328613281e-01,-1.205798745155334473e+00,7.638809084892272949e-02,2.993512153625488281e-02,drivers
-3.990000784397125244e-01,-6.071674823760986328e-01,-2.395257472991943359e+00,-4.931905865669250488e-01,7.554266452789306641e-01,pixels
-3.793087303638458252e-01,1.553013443946838379e+00,-2.648374080657958984e+00,-2.358848452568054199e-01,6.235417723655700684e-02,innovations
6.385614275932312012e-01,-1.184171915054321289e+00,-1.907588362693786621e+00,2.804633975028991699e-01,-5.355519652366638184e-01,memory
4.845704734325408936e-01,-4.085826873779296875e-01,-2.025750637054443359e+00,8.426856994628906250e-02,1.391003966331481934e+00,anticipation
4.213985800743103027e-01,2.220067381858825684e-01,-2.249302864074707031e+00,-3.935770392417907715e-01,1.405785679817199707e+00,venue
-7.629141807556152344e-01,1.445026040077209473e+00,-2.560135841369628906e+00,5.216320157051086426e-01,-2.449355786666274071e-03,morpheme
7.089125514030456543e-01,-2.299780696630477905e-01,-1.785903096199035645e+00,-7.507340908050537109e-01,4.503221213817596436e-01,removed
1.439458727836608887e-01,-3.010596036911010742e-01,-1.069839358329772949e+00,2.342886924743652344e-01,-6.985936760902404785e-01,loyal
-1.430480480194091797e-01,1.091842889785766602e+00,-2.103625774383544922e+00,1.432124137878417969e+00,-5.833951830863952637e-01,mustafa
-6.745994091033935547e-01,-5.831602811813354492e-01,-1.726997375488281250e+00,1.446409523487091064e-01,1.116286776959896088e-02,manually
-1.295180320739746094e-01,1.545329019427299500e-02,-1.527831315994262695e+00,1.425034999847412109e+00,-2.238446623086929321e-01,constant
-5.715958029031753540e-02,1.706941425800323486e-01,-1.206573486328125000e+00,7.596320509910583496e-01,7.389238476753234863e-01,appears
6.989854574203491211e-01,-7.217948138713836670e-02,-8.758872747421264648e-01,1.961372047662734985e-01,-4.619179666042327881e-01,reserving
2.816251516342163086e-01,-7.660886645317077637e-01,-1.544615983963012695e+00,-3.428340554237365723e-01,-3.697092831134796143e-01,5m
6.400821805000305176e-01,-9.033571481704711914e-01,-1.907950282096862793e+00,-1.635052561759948730e-01,8.905614614486694336e-01,tuesday
4.828148186206817627e-01,9.181242585182189941e-01,-1.462892293930053711e+00,8.714708685874938965e-01,-6.249759793281555176e-01,cushion
8.570001721382141113e-01,1.292575150728225708e-01,-1.680477023124694824e+00,-5.418134927749633789e-01,8.124946951866149902e-01,totally
-8.842772245407104492e-01,-5.424180626869201660e-01,-1.943836688995361328e+00,4.947454035282135010e-01,-2.528585791587829590e-01,limited
-2.627295553684234619e-01,6.229023933410644531e-01,-1.882879137992858887e+00,8.206224441528320312e-02,-1.087551355361938477e+00,stood
-9.252671152353286743e-02,-1.443459093570709229e-02,-1.520093321800231934e+00,-1.705669909715652466e-01,-9.314031600952148438e-01,regions
3.925382196903228760e-01,-2.257990986108779907e-01,-1.319378733634948730e+00,1.033283710479736328e+00,8.006034493446350098e-01,translating
